,Player,Player City,Country,State,Team City,PER,Player US Full City
113,Jay Scrubb,Louisville,US,KY,Los Angeles,9.3,"Louisville, KY"
114,Luke Kennard,Middletown,US,OH,Los Angeles,13.3,"Middletown, OH"
115,Amir Coffey,Hopkins,US,MN,Los Angeles,13.0,"Hopkins, MN"
116,Paul George,Palmdale,US,CA,Los Angeles,18.6,"Palmdale, CA"
117,Terance Mann,Brooklyn,US,NY,Los Angeles,13.4,"Brooklyn, NY"
118,Xavier Moon,Goodwater,US,AL,Los Angeles,16.2,"Goodwater, AL"
119,Rodney Hood,Meridian,US,MS,Los Angeles,7.2,"Meridian, MS"
120,Robert Covington,Bellwood,US,IL,Los Angeles,12.4,"Bellwood, IL"
121,Norman Powell,San Diego,US,CA,Los Angeles,16.3,"San Diego, CA"
122,Isaiah Hartenstein,Eugene,US,OR,Los Angeles,22.0,"Eugene, OR"
123,Russell Westbrook,Long Beach,US,CA,Los Angeles,15.0,"Long Beach, CA"
124,Wayne Ellington,Wynnewood,US,PA,Los Angeles,9.9,"Wynnewood, PA"
125,Anthony Davis,Chicago,US,IL,Los Angeles,23.9,"Chicago, IL"
126,D.J. Augustin,New Orleans,US,LA,Los Angeles,9.7,"New Orleans, LA"
127,Talen Horton-Tucker,Chicago,US,IL,Los Angeles,11.0,"Chicago, IL"
128,LeBron James,Akron,US,OH,Los Angeles,26.2,"Akron, OH"
129,Carmelo Anthony,Brooklyn,US,NY,Los Angeles,14.8,"Brooklyn, NY"
130,Kent Bazemore,Kelford,US,NC,Los Angeles,6.0,"Kelford, NC"
131,Malik Monk,Jonesboro,US,AR,Los Angeles,14.4,"Jonesboro, AR"
132,Stanley Johnson,Los Angeles,US,CA,Los Angeles,10.5,"Los Angeles, CA"
133,Austin Reaves,Newark,US,AR,Los Angeles,11.5,"Newark, AR"
134,Avery Bradley,Tacoma,US,WA,Los Angeles,7.8,"Tacoma, WA"
135,Mac McClung,Gate City,US,VA,Los Angeles,5.2,"Gate City, VA"
136,Dwight Howard,Atlanta,US,GA,Los Angeles,18.2,"Atlanta, GA"
137,Mason Jones,Dallas,US,TX,Los Angeles,17.8,"Dallas, TX"
138,Gabe Vincent,Modesto,US,CA,Miami,10.6,"Modesto, CA"
139,Victor Oladipo,Silver Spring,US,MD,Miami,16.8,"Silver Spring, MD"
140,Kyle Lowry,Philadelphia,US,PA,Miami,15.0,"Philadelphia, PA"
141,Markieff Morris,Philadelphia,US,PA,Miami,10.9,"Philadelphia, PA"
142,Bam Adebayo,Newark,US,NJ,Miami,21.8,"Newark, NJ"
143,Tyler Herro,Milwaukee,US,WI,Miami,16.2,"Milwaukee, WI"
144,Javonte Smart,Baton Rouge,US,LA,Miami,5.1,"Baton Rouge, LA"
145,Caleb Martin,Winston-Salem,US,NC,Miami,14.8,"Winston-Salem, NC"
146,P.J. Tucker,Raleigh,US,NC,Miami,11.3,"Raleigh, NC"
147,Dewayne Dedmon,Lancaster,US,CA,Miami,15.9,"Lancaster, CA"
148,Jimmy Butler,Houston,US,TX,Miami,23.6,"Houston, TX"
149,Haywood Highsmith,Baltimore,US,MD,Miami,7.0,"Baltimore, MD"
150,Max Strus,Hickory Hills,US,IL,Miami,12.7,"Hickory Hills, IL"
151,Udonis Haslem,Miami,US,FL,Miami,8.6,"Miami, FL"
152,Duncan Robinson,York,US,ME,Miami,10.6,"York, ME"
153,George Hill,Indianapolis,US,IN,Milwaukee,10.2,"Indianapolis, IN"
154,Jevon Carter,Maywood,US,IL,Milwaukee,9.6,"Maywood, IL"
155,Grayson Allen,Jacksonville,US,FL,Milwaukee,12.7,"Jacksonville, FL"
156,Bobby Portis,Little Rock,US,AR,Milwaukee,17.7,"Little Rock, AR"
157,Brook Lopez,North Hollywood,US,CA,Milwaukee,16.0,"North Hollywood, CA"
158,Jordan Nwora,Buffalo,US,NY,Milwaukee,9.9,"Buffalo, NY"
159,Jrue Holiday,Chatsworth,US,CA,Milwaukee,19.8,"Chatsworth, CA"
160,Khris Middleton,Charleston,US,SC,Milwaukee,18.1,"Charleston, SC"
161,Wesley Matthews,San Antonio,US,TX,Milwaukee,6.9,"San Antonio, TX"
