,Player,Country,PER
70,Derrick Jones Jr.,US,13.0
71,Alex Caruso,US,11.7
72,Troy Brown Jr.,US,10.1
73,Zach LaVine,US,20.0
74,DeMar DeRozan,US,23.1
75,Ayo Dosunmu,US,11.2
76,Tony Bradley,US,14.9
77,Malcolm Hill,US,12.7
78,Marko Simonovic,ME,10.2
79,Matt Thomas,US,9.9
80,Javonte Green,US,14.0
81,Tyler Cook,US,13.0
82,Patrick Williams,US,12.7
83,Sterling Brown,US,8.4
84,Theo Pinson,US,11.9
85,Trey Burke,US,10.0
86,Moses Wright,US,18.3
87,Dwight Powell,CA,18.1
88,Josh Green,AU,11.9
89,Dorian Finney-Smith,US,12.5
90,Tim Hardaway Jr.,US,12.7
91,Jalen Brunson,US,17.1
92,Frank Ntilikina,BE,10.4
93,Reggie Bullock,US,9.2
94,Spencer Dinwiddie,US,15.1
95,Marquese Chriss,US,14.8
96,Markus Howard,US,16.1
97,JaMychal Green,US,14.1
98,Michael Porter Jr.,US,7.5
99,Bones Hyland,US,14.4
100,DeMarcus Cousins,US,18.2
101,Will Barton,US,13.4
102,Bryn Forbes,US,11.5
103,Davon Reed,US,12.2
104,Monte Morris,US,14.7
105,Zeke Nnaji,US,13.5
106,Austin Rivers,US,7.2
107,Jeff Green,US,12.5
108,Aaron Gordon,US,15.3
109,Jonathan Kuminga,CD,15.2
110,Gary Payton II,US,17.8
111,Damion Lee,US,10.9
112,Damion Lee,US,10.9
113,Chris Chiozza,US,4.4
114,Jordan Poole,US,16.1
115,Moses Moody,US,10.5
116,Kevon Looney,US,15.7
117,Nemanja Bjelica,RS,14.2
118,Andre Iguodala,US,12.3
119,Klay Thompson,US,16.7
120,Quinndary Weatherspoon,US,12.0
121,Andrew Wiggins,CA,15.0
122,Draymond Green,US,14.3
123,Stephen Curry,US,21.4
124,Otto Porter Jr.,US,15.9
125,Juan Toscano-Anderson,US,11.0
126,Jalen Green,US,12.5
127,David Nwaba,US,15.3
128,Kevin Porter Jr.,US,13.5
129,Kenyon Martin Jr.,US,14.3
130,Jae'Sean Tate,US,14.3
131,Josh Christopher,US,12.2
132,Eric Gordon,US,12.1
133,Bruno Fernando,AO,21.2
134,Trevelin Queen,US,18.2
135,Trevelin Queen,US,18.2
136,Trevelin Queen,US,18.2
137,Garrison Mathews,US,11.0
138,Christian Wood,US,19.1
139,Jay Scrubb,US,9.3
140,Reggie Jackson,IT,12.1
141,Luke Kennard,US,13.3
142,Amir Coffey,US,13.0
143,Paul George,US,18.6
144,Terance Mann,US,13.4
145,Xavier Moon,US,16.2
146,Xavier Moon,US,16.2
147,Rodney Hood,US,7.2
148,Rodney Hood,US,7.2
149,Robert Covington,US,12.4
150,Norman Powell,US,16.3
151,Ivica Zubac,BA,19.2
152,Isaiah Hartenstein,US,22.0
153,Russell Westbrook,US,15.0
154,Wayne Ellington,US,9.9
155,Anthony Davis,US,23.9
156,D.J. Augustin,US,9.7
157,Talen Horton-Tucker,US,11.0
158,Carmelo Anthony,US,14.8
159,Kent Bazemore,US,6.0
160,Malik Monk,US,14.4
161,Stanley Johnson,US,10.5
162,Austin Reaves,US,11.5
163,Austin Reaves,US,11.5
164,Avery Bradley,US,7.8
165,Wenyen Gabriel,SD,12.5
166,Mac McClung,US,5.2
167,Mac McClung,US,5.2
168,Dwight Howard,US,18.2
169,Mason Jones,US,17.8
170,Mason Jones,US,17.8
171,Gabe Vincent,US,10.6
172,Victor Oladipo,US,16.8
173,Kyle Lowry,US,15.0
174,Markieff Morris,US,10.9
175,Mychal Mulder,CA,3.7
176,Mychal Mulder,CA,3.7
177,Bam Adebayo,US,21.8
178,Tyler Herro,US,16.2
179,Javonte Smart,US,5.1
180,Caleb Martin,US,14.8
181,Caleb Martin,US,14.8
182,P.J. Tucker,US,11.3
183,Dewayne Dedmon,US,15.9
184,Jimmy Butler,US,23.6
185,Haywood Highsmith,US,7.0
186,Max Strus,US,12.7
187,Max Strus,US,12.7
188,Udonis Haslem,US,8.6
189,Duncan Robinson,US,10.6
190,Duncan Robinson,US,10.6
191,Omer Yurtseven,TR,17.4
192,Omer Yurtseven,TR,17.4
193,George Hill,US,10.2
194,Jevon Carter,US,9.6
195,Grayson Allen,US,12.7
196,Bobby Portis,US,17.7
197,Brook Lopez,US,16.0
