,Player,From,To,Colleges,HTML Reference,Date,City,Country,State
143,Mile Ilic,2007.0,2007.0,,/players/i/ilicmi01.html,"Jun 2, 1984",Tuzla,BA,
144,D.J. Mbenga,2005.0,2011.0,,/players/m/mbengdj01.html,"Dec 30, 1980",Kinshasa,CD,
145,Ersan Ilyasova,2007.0,2021.0,,/players/i/ilyaser01.html,"May 15, 1987",Eskisehir,TR,
146,Joe Ingles,2015.0,2022.0,,/players/i/inglejo01.html,"Oct 2, 1987",Adelaide,AU,
147,Damien Inglis,2016.0,2016.0,,/players/i/inglida01.html,"May 20, 1995",Cayenne,GF,
148,LeBron James,2004.0,2023.0,,/players/j/jamesle01.html,"Dec 30, 1984",Akron,US,OH
149,Marko Jaric,2003.0,2009.0,,/players/j/jaricma01.html,"Oct 12, 1978",Belgrade,RS,
150,Al Jefferson,2005.0,2018.0,,/players/j/jeffeal01.html,"Jan 4, 1985",Monticello,US,MS
151,Brandon Jennings,2010.0,2018.0,,/players/j/jennibr01.html,"Sep 23, 1989",Compton,US,CA
152,Jonas Jerebko,2010.0,2019.0,,/players/j/jerebjo01.html,"Mar 2, 1987",Kinna,SE,
153,Yi Jianlian,2008.0,2012.0,,/players/j/jianlyi01.html,"Oct 27, 1987",He Shan,CN,
154,Amir Johnson,2006.0,2019.0,,/players/j/johnsam01.html,"May 1, 1987",Los Angeles,US,CA
155,Nikola Jokic,2016.0,2023.0,,/players/j/jokicni01.html,"Feb 19, 1995",Sombor,RS,
156,Nikola Jovic,2023.0,2023.0,,/players/j/jovicni01.html,"Jun 9, 2003",Leicester,GB,
157,Georgios Kalaitzakis,2022.0,2022.0,,/players/k/kalaige01.html,"Jan 2, 1999",Heraklion,GR,
158,Tony Kappen,1947.0,1947.0,,/players/k/kappeto01.html,,,,
159,Sergey Karasev,2014.0,2016.0,,/players/k/karasse01.html,"Oct 26, 1993",St. Petersburg,RU,
160,Ed Kasid,1947.0,1947.0,,/players/k/kasided01.html,,,,
161,Mario Kasun,2005.0,2006.0,,/players/k/kasunma01.html,"Apr 5, 1980",Split,HR,
162,Jerry Kelly,1947.0,1948.0,,/players/k/kellyje01.html,"Jun 14, 1918",Union City,US,NJ
163,Viktor Khryapa,2005.0,2008.0,,/players/k/khryavi01.html,"Aug 3, 1982",Kiev,UA,
164,Andrei Kirilenko,2002.0,2015.0,,/players/k/kirilan01.html,"Feb 18, 1981",Izhevsk,RU,
165,Maxi Kleber,2018.0,2023.0,,/players/k/klebima01.html,"Jan 29, 1992",Wurzburg,DE,
166,Bob Knight,1955.0,1955.0,,/players/k/knighbo01.html,"Apr 30, 1929",Hartford,US,CT
167,Furkan Korkmaz,2018.0,2023.0,,/players/k/korkmfu01.html,"Jul 24, 1997",Istanbul,TR,
168,Yaroslav Korolev,2006.0,2007.0,,/players/k/korolya01.html,"May 7, 1987",Moscow,RU,
169,Viacheslav Kravtsov,2013.0,2014.0,,/players/k/kravtvi01.html,"Aug 25, 1987",Odessa,UA,
170,Vit Krejci,2022.0,2023.0,,/players/k/krejcvi01.html,"Jun 19, 2000",Strakonice,CZ,
171,Nenad Krstic,2005.0,2011.0,,/players/k/krstine01.html,"Jul 25, 1983",Kraljevo,RS,
172,Toni Kukoc,1994.0,2006.0,,/players/k/kukocto01.html,"Sep 18, 1968",Split,HR,
173,Arnoldas Kulboka,2022.0,2022.0,,/players/k/kulboar01.html,"Jan 4, 1998",Marijampoles,LT,
174,Jonathan Kuminga,2022.0,2023.0,,/players/k/kuminjo01.html,"Oct 6, 2002",Goma,CD,
175,Rodions Kurucs,2019.0,2021.0,,/players/k/kurucro01.html,"Feb 5, 1998",Cesis,LV,
176,Ibo Kutluay,2005.0,2005.0,,/players/k/kutluib01.html,"Jul 1, 1974",Istanbul,TR,
177,Ognjen Kuzmic,2014.0,2015.0,,/players/k/kuzmiog01.html,"May 16, 1990",Doboj,BA,
178,Mindaugas Kuzminskas,2017.0,2018.0,,/players/k/kuzmimi01.html,"Oct 19, 1989",Vilnius,LT,
179,Maciej Lampe,2004.0,2006.0,,/players/l/lampema01.html,"Feb 5, 1985",Lodz,PL,
180,James Lang,2007.0,2007.0,,/players/l/langja01.html,"Oct 17, 1983",Mobile,US,AL
181,Nicolas Laprovittola,2017.0,2017.0,,/players/l/laproni01.html,"Jan 31, 1990",Buenos Aires,AR,
182,Joffrey Lauvergne,2015.0,2018.0,,/players/l/lauvejo01.html,"Sep 30, 1991",Mulhouse,FR,
