,Player,Colleges,PER
115,Moses Moody,Arkansas,10.5
116,Kevon Looney,UCLA,15.7
117,Nemanja Bjelica,Fenerbahce,14.2
118,Andre Iguodala,Arizona,12.3
119,Klay Thompson,WashingtonState,16.7
120,Quinndary Weatherspoon,MississippiState,12.0
121,Andrew Wiggins,Kansas,15.0
122,Draymond Green,MichiganState,14.3
123,Stephen Curry,Davidson,21.4
124,Otto Porter Jr.,Georgetown,15.9
125,Juan Toscano-Anderson,Marquette,11.0
126,Jalen Green,NBAGLeagueIgnite,12.5
127,David Nwaba,CalPoly,15.3
128,Kevin Porter Jr.,USC,13.5
129,Kenyon Martin Jr.,IMGAcademy(FL),14.3
130,Jae'Sean Tate,OhioState,14.3
131,Josh Christopher,ArizonaState,12.2
132,Eric Gordon,Indiana,12.1
133,Bruno Fernando,Maryland,21.2
134,Trevelin Queen,CollegeofMarin,18.2
135,Trevelin Queen,NewMexicoMilitaryInstitute,18.2
136,Trevelin Queen,NewMexicoState,18.2
137,Garrison Mathews,Lipscomb,11.0
138,Christian Wood,UNLV,19.1
139,Jay Scrubb,JohnA.LoganCollege,9.3
140,Reggie Jackson,BostonCollege,12.1
141,Luke Kennard,Duke,13.3
142,Amir Coffey,Minnesota,13.0
143,Paul George,FresnoState,18.6
144,Terance Mann,FloridaState,13.4
145,Xavier Moon,NorthwestFloridaStateCollege,16.2
146,Xavier Moon,MoreheadStateUniversity,16.2
147,Rodney Hood,MississippiState,7.2
148,Rodney Hood,Duke,7.2
149,Robert Covington,TennesseeState,12.4
150,Norman Powell,UCLA,16.3
151,Ivica Zubac,MegaBasket,19.2
152,Isaiah Hartenstein,Zalgiris,22.0
153,Russell Westbrook,UCLA,15.0
154,Wayne Ellington,UNC,9.9
155,Anthony Davis,Kentucky,23.9
156,D.J. Augustin,Texas,9.7
157,Talen Horton-Tucker,IowaState,11.0
158,Carmelo Anthony,Syracuse,14.8
159,Kent Bazemore,OldDominion,6.0
160,Malik Monk,Kentucky,14.4
161,Stanley Johnson,Arizona,10.5
162,Austin Reaves,WichitaState,11.5
163,Austin Reaves,Oklahoma,11.5
164,Avery Bradley,Texas,7.8
165,Wenyen Gabriel,Kentucky,12.5
166,Mac McClung,Georgetown,5.2
167,Mac McClung,TexasTech,5.2
168,Dwight Howard,SWAtlantaChristianAcademy(GA),18.2
169,Mason Jones,ConnorsStateCollege,17.8
170,Mason Jones,Arkansas,17.8
171,Gabe Vincent,UCSantaBarbara,10.6
172,Victor Oladipo,Indiana,16.8
173,Kyle Lowry,Villanova,15.0
174,Markieff Morris,Kansas,10.9
175,Mychal Mulder,VincennesUniversity,3.7
176,Mychal Mulder,Kentucky,3.7
177,Bam Adebayo,Kentucky,21.8
178,Tyler Herro,Kentucky,16.2
179,Javonte Smart,LSU,5.1
180,Caleb Martin,NCState,14.8
181,Caleb Martin,Nevada,14.8
182,P.J. Tucker,Texas,11.3
183,Dewayne Dedmon,USC,15.9
184,Jimmy Butler,Marquette,23.6
185,Haywood Highsmith,WheelingUniversity,7.0
186,Max Strus,Lewis(IL),12.7
187,Max Strus,DePaul,12.7
188,Udonis Haslem,Florida,8.6
189,Duncan Robinson,Williams,10.6
190,Duncan Robinson,Michigan,10.6
191,Omer Yurtseven,NCState,17.4
