Player,PER,Player Name,Height,Weight,Age,School,Team Name,City,Birth Month
Torrey Craig,11.0,Torrey Craig,79.0,221.0,31.0,South Carolina Upstate,Phoenix Suns,Phoenix,DEC
Jae Crowder,11.3,Jae Crowder,78.0,235.0,31.0,Marquette,Phoenix Suns,Phoenix,JUL
Jarrett Culver,8.7,Jarrett Culver,78.0,195.0,23.0,Texas Tech,Memphis Grizzlies,Memphis,FEB
Cade Cunningham,13.1,Cade Cunningham,78.0,220.0,20.0,Oklahoma State,Detroit Pistons,Detroit,SEP
Seth Curry,13.7,Seth Curry,74.0,185.0,31.0,Duke,Brooklyn Nets,Brooklyn,AUG
Stephen Curry,21.4,Stephen Curry,74.0,185.0,34.0,Davidson,Golden State Warriors,Golden State,MAR
Anthony Davis,23.9,Anthony Davis,82.0,253.0,29.0,Kentucky,Los Angeles Lakers,Los Angeles,MAR
Ed Davis,9.3,Ed Davis,81.0,218.0,33.0,North Carolina,Cleveland Cavaliers,Cleveland,JUN
Terence Davis,14.6,Terence Davis,76.0,201.0,25.0,Mississippi,Sacramento Kings,Sacramento,MAY
Dewayne Dedmon,15.9,Dewayne Dedmon,84.0,245.0,32.0,Southern California,Miami Heat,Miami,AUG
DeMar DeRozan,23.1,DeMar DeRozan,78.0,220.0,32.0,Southern California,Chicago Bulls,Chicago,AUG
Hamidou Diallo,15.7,Hamidou Diallo,77.0,202.0,23.0,Kentucky,Detroit Pistons,Detroit,JUL
Gorgui Dieng,17.3,Gorgui Dieng,82.0,248.0,32.0,Louisville,Atlanta Hawks,Atlanta,JAN
Spencer Dinwiddie,15.1,Spencer Dinwiddie,78.0,215.0,29.0,Colorado,Dallas Mavericks,Dallas,APR
Donte DiVincenzo,11.3,Donte DiVincenzo,76.0,203.0,25.0,Villanova,Sacramento Kings,Sacramento,JAN
Luguentz Dort,12.3,Luguentz Dort,75.0,215.0,23.0,Arizona State,Oklahoma City Thunder,Oklahoma City,APR
Ayo Dosunmu,11.2,Ayo Dosunmu,76.0,200.0,22.0,Illinois,Chicago Bulls,Chicago,JAN
Andre Drummond,21.0,Andre Drummond,82.0,279.0,28.0,Connecticut,Brooklyn Nets,Brooklyn,AUG
Chris Duarte,12.3,Chris Duarte,77.0,190.0,25.0,Oregon,Indiana Pacers,Indiana,JUN
David Duke Jr.,10.0,David Duke Jr.,76.0,204.0,22.0,Providence,Brooklyn Nets,Brooklyn,OCT
Kevin Durant,25.6,Kevin Durant,82.0,240.0,33.0,Texas,Brooklyn Nets,Brooklyn,SEP
Anthony Edwards,16.5,Anthony Edwards,76.0,225.0,20.0,Georgia,Minnesota Timberwolves,Minnesota,AUG
Carsen Edwards,5.5,Carsen Edwards,71.0,200.0,24.0,Purdue,Detroit Pistons,Detroit,MAR
Kessler Edwards,8.3,Kessler Edwards,79.0,203.0,21.0,Pepperdine,Brooklyn Nets,Brooklyn,AUG
CJ Elleby,9.2,CJ Elleby,78.0,200.0,22.0,Washington State,Portland Trail Blazers,Portland,JUN
Wayne Ellington,9.9,Wayne Ellington,76.0,207.0,34.0,North Carolina,Los Angeles Lakers,Los Angeles,NOV
Joel Embiid,31.2,Joel Embiid,84.0,280.0,28.0,Kansas,Philadelphia 76ers,Philadelphia,MAR
Derrick Favors,13.6,Derrick Favors,81.0,265.0,30.0,Georgia Tech,Oklahoma City Thunder,Oklahoma City,JUL
Bruno Fernando,21.2,Bruno Fernando,81.0,240.0,23.0,Maryland,Houston Rockets,Houston,AUG
Dorian Finney-Smith,12.5,Dorian Finney-Smith,79.0,220.0,29.0,Florida,Dallas Mavericks,Dallas,MAY
Malik Fitts,10.7,Malik Fitts,77.0,230.0,24.0,St. Mary's College,Boston Celtics,Boston,JUL
Malachi Flynn,11.7,Malachi Flynn,73.0,175.0,24.0,San Diego State,Toronto Raptors,Toronto,MAY
Bryn Forbes,11.5,Bryn Forbes,74.0,205.0,28.0,Michigan State,Denver Nuggets,Denver,JUL
Trent Forrest,10.9,Trent Forrest,76.0,210.0,24.0,Florida State,Utah Jazz,Utah,JUN
Evan Fournier,12.3,Evan Fournier,78.0,205.0,29.0,Poitiers Basket 86,New York Knicks,New York,OCT
De'Aaron Fox,17.4,De'Aaron Fox,75.0,185.0,24.0,Kentucky,Sacramento Kings,Sacramento,DEC
Markelle Fultz,17.7,Markelle Fultz,76.0,209.0,24.0,Washington,Orlando Magic,Orlando,MAY
Wenyen Gabriel,12.5,Wenyen Gabriel,81.0,205.0,25.0,Kentucky,Los Angeles Lakers,Los Angeles,MAR
Daniel Gafford,21.8,Daniel Gafford,81.0,234.0,23.0,Arkansas,Washington Wizards,Washington,OCT
Danilo Gallinari,14.3,Danilo Gallinari,82.0,236.0,33.0,Olimpia Milano,Atlanta Hawks,Atlanta,AUG
Darius Garland,19.0,Darius Garland,73.0,192.0,22.0,Vanderbilt,Cleveland Cavaliers,Cleveland,JAN
Usman Garuba,12.9,Usman Garuba,80.0,229.0,20.0,Real Madrid,Houston Rockets,Houston,MAR
Luka Garza,15.6,Luka Garza,82.0,243.0,23.0,Iowa,Detroit Pistons,Detroit,DEC
Rudy Gay,13.0,Rudy Gay,80.0,250.0,35.0,Connecticut,Utah Jazz,Utah,AUG
Paul George,18.6,Paul George,80.0,220.0,32.0,Fresno State,Los Angeles Clippers,Los Angeles,MAY
Taj Gibson,12.0,Taj Gibson,81.0,232.0,37.0,Southern California,New York Knicks,New York,JUN
Josh Giddey,13.3,Josh Giddey,80.0,205.0,19.0,NBA Global Academy,Oklahoma City Thunder,Oklahoma City,OCT
Shai Gilgeous-Alexander,20.9,Shai Gilgeous-Alexander,78.0,180.0,23.0,Kentucky,Oklahoma City Thunder,Oklahoma City,JUL
Anthony Gill,14.7,Anthony Gill,79.0,230.0,29.0,Virginia,Washington Wizards,Washington,OCT
Rudy Gobert,24.7,Rudy Gobert,85.0,258.0,30.0,Cholet,Utah Jazz,Utah,JUN
Brandon Goodwin,11.8,Brandon Goodwin,72.0,180.0,26.0,Florida Gulf Coast,Cleveland Cavaliers,Cleveland,OCT
Aaron Gordon,15.3,Aaron Gordon,80.0,235.0,26.0,Arizona,Denver Nuggets,Denver,SEP
Eric Gordon,12.1,Eric Gordon,75.0,215.0,33.0,Indiana,Houston Rockets,Houston,DEC
Devonte' Graham,12.1,Devonte' Graham,73.0,195.0,27.0,Kansas,New Orleans Pelicans,New Orleans,FEB
Jerami Grant,16.1,Jerami Grant,80.0,210.0,28.0,Syracuse,Detroit Pistons,Detroit,MAR
Danny Green,9.5,Danny Green,78.0,215.0,35.0,North Carolina,Philadelphia 76ers,Philadelphia,JUN
Draymond Green,14.3,Draymond Green,78.0,230.0,32.0,Michigan State,Golden State Warriors,Golden State,MAR
Jalen Green,12.5,Jalen Green,76.0,186.0,20.0,NBA G League Ignite,Houston Rockets,Houston,FEB
JaMychal Green,14.1,JaMychal Green,80.0,227.0,32.0,Alabama,Denver Nuggets,Denver,JUN
Javonte Green,14.0,Javonte Green,77.0,205.0,28.0,Radford,Chicago Bulls,Chicago,JUL
Jeff Green,12.5,Jeff Green,80.0,235.0,35.0,Georgetown,Denver Nuggets,Denver,AUG
Josh Green,11.9,Josh Green,77.0,200.0,21.0,Arizona,Dallas Mavericks,Dallas,NOV
Blake Griffin,13.7,Blake Griffin,81.0,250.0,33.0,Oklahoma,Brooklyn Nets,Brooklyn,MAR
Quentin Grimes,10.7,Quentin Grimes,76.0,210.0,22.0,Houston,New York Knicks,New York,MAY
Rui Hachimura,14.9,Rui Hachimura,80.0,230.0,24.0,Gonzaga,Washington Wizards,Washington,FEB
Tyrese Haliburton,18.2,Tyrese Haliburton,77.0,185.0,22.0,Iowa State,Indiana Pacers,Indiana,FEB
R.J. Hampton,8.5,R.J. Hampton,76.0,175.0,21.0,New Zealand Breakers,Orlando Magic,Orlando,FEB
Tim Hardaway Jr.,12.7,Tim Hardaway Jr.,77.0,205.0,30.0,Michigan,Dallas Mavericks,Dallas,MAR
James Harden,20.9,James Harden,77.0,220.0,32.0,Arizona State,Philadelphia 76ers,Philadelphia,AUG
Maurice Harkless,7.7,Maurice Harkless,79.0,220.0,29.0,"St. John's, N.Y.",Sacramento Kings,Sacramento,MAY
Jared Harper,36.9,Jared Harper,70.0,175.0,24.0,Auburn,New Orleans Pelicans,New Orleans,SEP
Montrezl Harrell,23.2,Montrezl Harrell,79.0,240.0,28.0,Louisville,Charlotte Hornets,Charlotte,JAN
Gary Harris,10.9,Gary Harris,76.0,210.0,27.0,Michigan State,Orlando Magic,Orlando,SEP
Joe Harris,9.6,Joe Harris,78.0,220.0,30.0,Virginia,Brooklyn Nets,Brooklyn,SEP
Tobias Harris,15.9,Tobias Harris,79.0,226.0,29.0,Tennessee,Philadelphia 76ers,Philadelphia,JUL
Josh Hart,16.1,Josh Hart,77.0,215.0,27.0,Villanova,Portland Trail Blazers,Portland,MAR
Isaiah Hartenstein,22.0,Isaiah Hartenstein,84.0,250.0,24.0,Zalgiris,Los Angeles Clippers,Los Angeles,MAY
Udonis Haslem,8.6,Udonis Haslem,80.0,235.0,42.0,Florida,Miami Heat,Miami,JUN
Sam Hauser,14.8,Sam Hauser,79.0,217.0,24.0,Virginia,Boston Celtics,Boston,DEC
Jaxson Hayes,18.5,Jaxson Hayes,83.0,220.0,22.0,Texas,New Orleans Pelicans,New Orleans,MAY
Killian Hayes,9.3,Killian Hayes,77.0,195.0,20.0,Ratiopharm Ulm,Detroit Pistons,Detroit,JUL
Gordon Hayward,15.1,Gordon Hayward,79.0,225.0,32.0,Butler,Charlotte Hornets,Charlotte,MAR
