,Player,Yrs,From,To,Date,City,Country
17,Željko Rebrača,5,2002,2006,"Apr 9, 1972",Apatin,RS
18,Alen Smailagić,2,2020,2021,"Aug 18, 2000",Belgrade,RS
19,Dragan Tarlać,1,2001,2001,"May 9, 1973",Belgrade,RS
20,,,,,,,RS
21,Miloš Teodosić,2,2018,2019,"Mar 19, 1987",Valjevo,RS
22,Mirsad Türkcan,1,2000,2000,"Jun 7, 1976",Novi Pazar,RS
23,Slavko Vraneš,1,2004,2004,"Jan 30, 1983",Belgrade,RS
24,Aleksandar Djordjevic,1,1997,1997,"Aug 26, 1967",Belgrade,RS
0,Richard Petruška,1,1994,1994,"Jan 25, 1969",Levice,SK
0,Primož Brezec,8,2002,2010,"Oct 2, 1979",Postojna,SI
1,Vlatko Čančar,4,2020,2023,"Apr 10, 1997",Koper,SI
2,Luka Dončić,5,2019,2023,"Feb 28, 1999",Ljubljana,SI
3,Goran Dragić,15,2009,2023,"May 6, 1986",Ljubljana,SI
4,Zoran Dragić,1,2015,2015,"Jun 22, 1989",Ljubljana,SI
5,Marko Milič,2,1998,1999,"May 7, 1977",Kranj,SI
6,Boštjan Nachbar,6,2003,2008,"Jul 3, 1980",Slovenj Gradec,SI
7,Rasho Nesterović,12,1999,2010,"May 30, 1976",Ljubljana,SI
8,Uroš Slokar,1,2007,2007,"May 14, 1983",Ljubljana,SI
9,Beno Udrih,13,2005,2017,"Jul 5, 1982",Celje,SI
10,Sasha Vujačić,10,2005,2017,"Mar 8, 1984",Maribor,SI
0,Steve Nash*,18,1997,2014,"Feb 7, 1974",Johannesburg,ZA
0,Deng Adel,1,2019,2019,"Feb 1, 1997",Juba,SS
1,Manute Bol,10,1986,1995,"Oct 16, 1962",Gogrial,SS
2,Luol Deng,15,2005,2019,"Apr 16, 1985",Wau,SS
3,Deng Gai,1,2006,2006,"Mar 22, 1982",Wau,SS
4,Thon Maker,5,2017,2021,"Feb 25, 1997",Wau,SS
0,Álex Abrines,3,2017,2019,"Aug 1, 1993",Palma de Mallorca,ES
1,Santi Aldama,2,2022,2023,"Jan 10, 2001",Las Palmas,ES
2,Wallace Bryant,3,1984,1986,"Jul 14, 1959",Madrid,ES
3,José Calderón,14,2006,2019,"Sep 28, 1981",Villanueva de la Serena,ES
4,Victor Claver,3,2013,2015,"Aug 30, 1988",Valencia,ES
5,Rudy Fernández,4,2009,2012,"Apr 4, 1985",Palma de Mallorca,ES
6,Jorge Garbajosa,2,2007,2008,"Dec 19, 1977",Madrid,ES
7,Usman Garuba,2,2022,2023,"Mar 9, 2002",Azuqueca de Henares,ES
8,Marc Gasol,13,2009,2021,"Jan 29, 1985",Barcelona,ES
9,Pau Gasol,18,2002,2019,"Jul 6, 1980",Barcelona,ES
10,Juancho Hernangómez,7,2017,2023,"Sep 28, 1995",Madrid,ES
11,Willy Hernangómez,7,2017,2023,"May 27, 1994",Madrid,ES
12,Raül López,2,2004,2005,"Apr 15, 1980",Vic,ES
13,Fernando Martín,1,1987,1987,"Mar 25, 1962",Madrid,ES
14,Juan Carlos Navarro,1,2008,2008,"Jun 13, 1980",Sant Feliu de Llobregat,ES
15,Sergio Rodríguez,5,2007,2017,"Jun 12, 1986",Tenerife,ES
16,Ricky Rubio,11,2012,2022,"Oct 21, 1990",El Masnou,ES
17,Wally Szczerbiak,10,2000,2009,"Mar 5, 1977",Madrid,ES
0,Bol Bol,4,2020,2023,"Nov 16, 1999",Khartoum,SD
1,Wenyen Gabriel,4,2020,2023,"Mar 26, 1997",Khartoum,SD
0,Jonas Jerebko,9,2010,2019,"Mar 2, 1987",Kinna,SE
1,Miles Simon,1,1999,1999,"Nov 21, 1975",Stockholm,SE
2,Jeff Taylor,3,2013,2015,"May 23, 1989",Norrkoping,SE
0,Clint Capela,9,2015,2023,"May 18, 1994",Geneva,CH
1,Enes Freedom,11,2012,2022,"May 20, 1992",Zurich,CH
2,Thabo Sefolosha,14,2007,2020,"May 2, 1984",Vevey,CH
3,Nikola Vučević,12,2012,2023,"Oct 24, 1990",Morges,CH
0,Joe Alexander,2,2009,2010,"Dec 26, 1986",Kaohsiung,TW
0,Ken Charles,5,1974,1978,"Jul 10, 1951",,TT
1,Carl Herrera,8,1992,1999,"Dec 14, 1966",Trinidad,TT
0,Salah Mejri,4,2016,2019,"Jun 15, 1986",Jendouba,TN
0,Furkan Aldemir,1,2015,2015,"Aug 9, 1991",Konak,TR
1,Ömer Aşık,8,2011,2018,"Jul 4, 1986",Bursa,TR
2,Semih Erden,2,2011,2012,"Jul 28, 1986",Istanbul,TR
3,Ersan İlyasova,13,2007,2021,"May 15, 1987",Eskisehir,TR
4,Furkan Korkmaz,6,2018,2023,"Jul 24, 1997",Istanbul,TR
5,Ibo Kutluay,1,2005,2005,"Jul 1, 1974",Istanbul,TR
6,Mehmet Okur,10,2003,2012,"May 26, 1979",Yalova,TR
7,Alperen Şengün,2,2022,2023,"Jul 25, 2002",Giresun,TR
8,Hedo Türkoğlu,15,2001,2015,"Mar 19, 1979",Istanbul,TR
9,Omer Yurtseven,1,2022,2022,"Jun 19, 1998",Istanbul,TR
0,Raja Bell,12,2001,2012,"Sep 19, 1976",St. Croix,VI
1,Charles Claxton,1,1996,1996,"Dec 13, 1970",St. Thomas,VI
2,Tim Duncan*,19,1998,2016,"Apr 25, 1976",St. Croix,VI
0,Joel Bolomboy,2,2017,2018,"Jan 28, 1994",Kiev,UA
1,Kyrylo Fesenko,5,2008,2012,"Dec 24, 1986",Dnepropetrovsk,UA
2,Viktor Khryapa,4,2005,2008,"Aug 3, 1982",Kiev,UA
3,Viacheslav Kravtsov,2,2013,2014,"Aug 25, 1987",Odessa,UA
4,Alex Len,10,2014,2023,"Jun 16, 1993",Antratsit,UA
5,Stanislav Medvedenko,7,2001,2007,"Apr 4, 1979",Karapyshi,UA
6,Svi Mykhailiuk,5,2019,2023,"Jun 10, 1997",Cherkasy,UA
7,Oleksiy Pecherov,3,2008,2010,"Dec 8, 1985",Donetsk,UA
8,Vitaly Potapenko,11,1997,2007,"Mar 21, 1975",Kiev,UA
0,OG Anunoby,6,2018,2023,"Jul 17, 1997",London,GB
1,Robert Archibald,2,2003,2004,"Mar 29, 1980",Paisley,GB
2,Kelenna Azubuike,5,2007,2012,"Dec 16, 1983",London,GB
3,Steve Bucknall,1,1990,1990,"Mar 17, 1966",London,GB
4,James Donaldson,14,1981,1995,"Aug 16, 1957",Heacham,GB
5,Ndudi Ebi,2,2004,2005,"Jun 18, 1984",London,GB
6,Joel Freeland,3,2013,2015,"Feb 7, 1987",Farnham,GB
7,Ben Gordon,11,2005,2015,"Apr 4, 1983",London,GB
8,Woody Grimshaw,1,1947,1947,"Sep 24, 1919",,GB
9,Chris Harris,1,1956,1956,"Aug 11, 1933",Southampton,GB
10,Nikola Jović,1,2023,2023,"Jun 9, 2003",Leicester,GB
11,Pops Mensah-Bonsu,4,2007,2011,"Sep 7, 1983",London,GB
12,Admiral Schofield,3,2020,2023,"Mar 30, 1997",London,GB
0,Hasheem Thabeet,5,2010,2014,"Feb 16, 1987",Dar es Salaam,TZ
0,Esteban Batista,2,2006,2007,"Sep 2, 1983",Montevideo,UY
0,Óscar Torres,2,2002,2003,"Dec 18, 1976",Caracas,VE
1,Greivis Vásquez,7,2011,2017,"Jan 16, 1987",Caracas,VE
