,Player,Yrs,From,To,Date,City,Country
1,Nickeil Alexander-Walker,4,2020,2023,"Sep 2, 1998",Toronto,CA
2,Joel Anthony,10,2008,2017,"Aug 9, 1982",Montreal,CA
3,Norm Baker,1,1947,1947,"Feb 17, 1923",Victoria,CA
4,Dalano Banton,2,2022,2023,"Nov 7, 1999",Toronto,CA
5,RJ Barrett,4,2020,2023,"Jun 14, 2000",Toronto,CA
6,Anthony Bennett,4,2014,2017,"Mar 14, 1993",Toronto,CA
7,Sim Bhullar,1,2015,2015,"Dec 2, 1992",Toronto,CA
8,Khem Birch,6,2018,2023,"Sep 28, 1992",Montreal,CA
9,Oshae Brissett,4,2020,2023,"Jun 20, 1998",Toronto,CA
10,Dillon Brooks,6,2018,2023,"Jan 22, 1996",Mississauga,CA
11,Brandon Clarke,4,2020,2023,"Sep 19, 1996",Vancouver,CA
12,Ron Crevier,1,1986,1986,"Apr 14, 1958",Montreal,CA
13,Bobby Croft,1,1971,1971,"Mar 17, 1946",Hamilton,CA
14,Nate Darling,1,2021,2021,"Aug 30, 1998",Halifax,CA
15,Luguentz Dort,4,2020,2023,"Apr 19, 1999",Montreal,CA
16,Chris Duarte,2,2022,2023,"Jun 13, 1997",Montreal,CA
17,Tyler Ennis,4,2015,2018,"Aug 24, 1994",Brampton,CA
18,Rick Fox,13,1992,2004,"Jul 24, 1969",Toronto,CA
19,Shai Gilgeous-Alexander,5,2019,2023,"Jul 12, 1998",Toronto,CA
20,,,,,,,CA
21,Stewart Granger,3,1984,1987,"Oct 27, 1961",Montreal,CA
22,Bob Houbregs*,5,1954,1958,"Mar 12, 1932",Vancouver,CA
23,Caleb Houstan,1,2023,2023,"Jan 9, 2003",Mississauga,CA
24,Cory Joseph,12,2012,2023,"Aug 20, 1991",Toronto,CA
25,Kris Joseph,1,2013,2013,"Dec 17, 1988",Montreal,CA
26,Mfiondu Kabengele,2,2020,2021,"Aug 14, 1997",Toronto,CA
27,Trey Lyles,8,2016,2023,"Nov 5, 1995",Saskatoon,CA
28,Todd MacCulloch,4,2000,2003,"Jan 27, 1976",Winnipeg,CA
29,Jamaal Magloire,12,2001,2012,"May 21, 1978",Toronto,CA
30,Bennedict Mathurin,1,2023,2023,"Jun 19, 2002",Montreal,CA
31,Naz Mitrou-Long,3,2018,2020,"Aug 3, 1993",Mississauga,CA
32,Mychal Mulder,3,2020,2022,"Jun 12, 1994",Etobicoke,CA
33,Jamal Murray,6,2017,2023,"Feb 23, 1997",Kitchener,CA
34,Andrew Nembhard,1,2023,2023,"Jan 16, 2000",Aurora,CA
35,Andrew Nicholson,5,2013,2017,"Dec 8, 1989",Mississauga,CA
36,Kelly Olynyk,10,2014,2023,"Apr 19, 1991",Toronto,CA
37,Kevin Pangos,1,2022,2022,"Jan 26, 1993",Holland Landing,CA
38,Dwight Powell,9,2015,2023,"Jul 20, 1991",Toronto,CA
39,Joshua Primo,2,2022,2023,"Dec 24, 2002",Mississauga,CA
40,Xavier Rathan-Mayes,1,2018,2018,"Apr 29, 1994",Scarborough,CA
41,,,,,,,CA
42,Leo Rautins,2,1984,1985,"Mar 20, 1960",Toronto,CA
43,Shaedon Sharpe,1,2023,2023,"May 30, 2003",London,CA
44,Marial Shayok,1,2020,2020,"Jul 26, 1995",Ottawa,CA
45,Mike Smrek,7,1986,1992,"Aug 31, 1962",Welland,CA
46,Gino Sovran,1,1947,1947,"Dec 17, 1924",Windsor,CA
47,Nik Stauskas,6,2015,2022,"Oct 7, 1993",Mississauga,CA
48,Tristan Thompson,11,2012,2022,"Mar 13, 1991",Toronto,CA
49,Ernie Vandeweghe,6,1950,1956,"Sep 12, 1928",Montreal,CA
50,Bill Wennington,13,1986,2000,"Apr 26, 1963",Montreal,CA
51,Andrew Wiggins,9,2015,2023,"Feb 23, 1995",Toronto,CA
52,Lindell Wigginton,1,2022,2022,"Mar 28, 1998",Halifax,CA
53,Jim Zoet,1,1983,1983,"Dec 20, 1953",Uxbridge,CA
